,Text,Translated
61,"방 격리가 풀렸다고 했지 사육이 끝난다곤 안했다 이제는 3식이 뷔페라 오히려 사육이 업그레이드 됨 ㅋㅋ
그리고 점심뷔페는 샐러드 뷔페라며? 이건 그냥 K-분식 체험 뷔페 아니냐? ㅎㅎ https://t.co/RoAOBfajiU","I did not know if the room was released, I did not finish my breeding now,
And lunch buffet is a salad buffet? Is this just a K-ing experience buffet? ㅎㅎ https://t.co/roaobfajiu"
62,@IristheFrill 방 격리 풀려서 이젠 세끼 뷔페입니다 ㅋㅋ,"@Iristhefrill is a room that Isolated,"
63,"자가격리하라는 문자를 받았을 때가 백신접종한 지 딱 14일이 된 날이었다.

네이버에, 백신 접종완료 14일 경과하면 자가격리가 면제된다는 말이 있길래 보건소에 여쭤봤다.

결론은, 딱 14일째라서 그런건지 나는 자가격리자 대상이란다ㅠ (7일 14시 접종 - 21일 오전 11시 자가격리 통보)","It was the day after the vaccination was only 14 days when the character was received.

Naver, the vaccination completed 14 days a day, when the price is exempted from the price, I asked on the public health center.

The conclusion is that it is only 14 days, so it is a price for a pretty price."
64,룸 격리 풀렸뜨아! https://t.co/eK57IFvG8b,Room isolated! https://t.co/EK57IFVG8B
65,현지시간 저녁 7시인데 격리가 안풀리네 ㅋㅋㅋ 이건 이거대로 나쁘진 않은데 언제까지 사육당해야 하죠?🤣🤣 https://t.co/aCrRdWI29S,I do not think it's bad as it is not enough to be insigned in 7 o'clock in the evening.
66,"@BertVanmeir 1인/40만원이요...
호텔 호화격리 5박+다른 호텔2박 해서 7박8일 조삼모사 투어임 ㅋㅋㅋ
격리관련 비용은 사이판 정부에서 부담해줘서 저 비용이 나옴요","@Bertvanmeir 1 person / 400,000 won ...
Hotel lunario 5 nights + 2 other hotels 2 nights and 7 nights 8 days Joe Mosa Tour
Isolation costs are burdened by the Saipan government,"
67,"@BertVanmeir 음성나와도 격리는 마찬가진데 격리 범위가 리조트 전체로 확장돼서 대놓고 호캉 스모드 체인지임 ㅋㅋㅋ
심지어 3식 뷔페로 다 나오고 호텔 엑티비티 수영장 비치 전부 무료이용 가능👍","@Bertvanmeir The same is true, and the same eagerity, the isolation range is expanded to the entire resort,
Even with 3-dietary Buffet,"
68,"검사결과 아직도 안나와서 아직도 호텔 방 격리당한 채로 주는 밥 먹으면서 사육당하는 중
격리식 너무 잘나오네 ㅋㅋㅋㅋㅋ https://t.co/8RoETOqSsU","The test is still nas to eat, so I am still living in the room
Isolated:"
69,넷플릭스 데이즈 샤펠 - 더 클로저 영상 중 초반에 자신이 코로나 바이러스에 걸려 격리기간동안 흑인들이 동양인 패는 영상을 많이 봤다고 하는데 자신도 무증상으로 끝났기때문에 흑인들이 동양인을 패는 일은 자신의 몸안에서도 벌어졌을지 모른다며 코로나=동양인 프레임을 유머랍시고 던지네ㅎㅎ,"Netflix Days Chapel - During the earliest of the closure of the closure video, black people have seen a lot of images in the coronavirus, and the Asian liftings have seen a lot of images during the seventh, and because they have finished as much as they are in asymptomatic, I throw the oriental frame humor."
70,"드.디.어 일본티켓 끊었다링-!! 

솔직히 지금 일본이 격리자체는 한국만큼 빡세진 않지만 10일간 정기 위치인증체크에 전화 등 매일 관리 받다보니 귀찮아서 안가고 싶었는데 꿀팁을 받아서 기분좋게 표 끊은 나링링! 기술이 참 좋다링??

자! 오랜만에 해외여행이링! 링링! https://t.co/W0pdkTimkA","D. Di.

Honestly, Japan is not asking for themselves, but it is not as tight as Korea, but it was not a regular managed to be managed every day for 10 days. The technology is true.

ruler! Overseas traveling for a long time! Ringing! https://t.co/w0pdktimka"
71,"[인터뷰]원희룡 ""나는 '떡상' 중.. '대통령 특수훈련' 받았다"" | 다음 뉴스 https://t.co/s5PhuDv042 원희룡 배우자 강윤형씨 당신 남편 상태가 많이 안좋다 정신과 치료가 아니라 정신병원에 격리시켜야 할 상태다 남편은 살리고 딴데 신경써라","[Interview] Won Hee Ryong ""I was"" I got a special special training ""| Next News https://t.co/S5PHUDV042 Won Hee Ryong Spouse Kang Yoon-hyung Mr. Kang Yoon-hyung is not a lot of husbands, not a lot of husband, but it is not a spirit and treatment."
72,"오늘부터 11월 2일까지.. 자가격리를 하게 되었습니다..

격리 해제 전 검사에서도 음성 나와주라..ㅠ","From today to November 2th, I have been praying.

I will come out of the previous inspection before Isolation .."
73,쿠브앱 3개월만에 접종인정되가지고 드디어 격리면제 받음 ㅋㅋㅋㅋㅋ https://t.co/9E5emCfz0v,"Couve app is accused of inoculation in 3 months, and finally it is finalized."
74,격리자용 도시락 뭐이리 잘나옴? 넘나 한국의 맛이고 꽤 맛있잖아 ㅋㅋㅋ https://t.co/qFs4Y8qj04,Well that lunch box for an isolated guy? It's a taste of Korea and pretty delicious. Https://t.co/qfs4y8qj04
75,"사이판 야경🌃
첫날은 호텔 방 안에서 격리해야 ㅠㅠ https://t.co/NCtByRvFtJ","Saipan Night View
The first day should be isolated in the hotel room ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ"
76,"아니 국가에서도 음성결과 나올때까지 하루만 자가격리 니킨다 하자나~~회사 본사 쉐끼들아..왜 니들 맘대로 날 2주나 더 격리 시키겠다는건데..
나 방탄 콘서트 갈꺼라고!!!!!!! https://t.co/eZUBKHb9Y6","No, I will be a day to get a day until I came out of the voice.
I will go to the bulletproof concert !!!!!!! https://t.co/EZUBKHB9Y6"
77,"사이판 도착!
사이판 켄싱턴 리조트에 격리하러 가는 버스에 탔는데 경찰차가 호위(라기보다 감시? ㅋㅋㅋ)로 같이가는 중🚔🚔🚓🚓 https://t.co/VHe0bfnBjn","Arrive Saipan!
I got on the bus to I went to Kensington Resort Saipan Kensington Resort."
78,"@Unevermind_07 본진 좀 진짜 송감독한테서
격리시키고 싶어요..
친한거 다 알겠으니까
같이 놀기만 하라고 좀...
같이 일하지 말고....","@ Unevermind_07 Based on a real song
I want to isolate ..
I know everything is close.
I want to play together ...
Do not work with you ...."
79,"@mindflow__ PCR검사 해보셨나요?
음성이면 안심하셔요
그리고 행정편의상 14일 격리시키는건데 아무이상없을거예요!
저도 회의참석했다가 2주간 격리경험이 있어 말씀드리는겁니다","@MindFlow__ PCR Did you check it?
If you are voice, it's safe.
And for administrative convenience, I will isolate on the 14th, but I will not be anything wrong!
I have a meeting with a meeting, and I have an experienced experience for two weeks."
80,일본 가면 자가격리 해야되나요? https://t.co/0PnT2DqAxa,Should I get rid of Japan? https://t.co/PNT2DQAXA
81,"예상을 안 한 건 아니었다. 무대에 굶주려 있던 만큼 뭔가 쏟고 갈 거라고. 그리고 그들은 그렇게 했다. 멘트칠 시간마저 아끼며 격리되었던 시간만큼 짙어진, 사이키델릭의  환상을 토해내는 그런.","I did not expect anything. I was hungry on the stage. And they did that. The mentive time is so dark enough to have been isolated, so that it was so dark that the fantasy of Saikedelrick."
82,"❌📍2번 백신 맞은 손흥민 선수도 코로나에 걸렸네요!
정부가 예방 효과 적지만 생명 ..

《[서울신문]“손흥민, 코로나 확진…10일 격리로 출전 불가”》
《'예비역' 손흥민은 코로나19 백신 접종 어떤 것으로 했을까 : 네이트뉴스》

https://t.co/SAighswapo","❌❌2 times a vaccine Son Heung-min was also a corona!
The government is effective, but life ..

""[Seoul Newspaper]"" Sohn Heung-min, Corona confirmed ... No departed in 10 days later """"
""'The reserve' Sohn Heung-min was Corona 19 vaccination: Nate News""

https://t.co/SaighSwapo"
83,"니가 원하는 교도소를 말해, 거기로 가서 갱생의 기회를 가져라. 갱생이 불가능하므로 영원히 사회에서 격리시키는게 하버드교수, 기득권 딸랑이 마이클 샌델의 공리주의 이론에 부합한다. https://t.co/EE2gysnR4r","Tell me the prison you want, go there and take the opportunity for a reward. Because the rebirth is impossible, it is a group of Harvard professors, which is to be isolated in society forever, meets the theory of michael Sandelism. https://t.co/ee2Gysnr4r"
84,오늘 운 나쁘게도(?) 코로나 양성 판정을 받아 의료실로 불려가 격리당했다. 하지만 뭐 어떻겠어... 이것도 어찌보면 운명일테니... 어떻게든 잘 버틸 수 있을것이다. https://t.co/XwOL3ovkEa,"Today was a lucky (?) Corona-positive judgment and called a medical room as a medical room. But what would you like ... What is this too, what is it fate ... I will be able to do well well. https://t.co/xwol3ovkea"
85,백신 거부자 놈들 다 모아서 무인도에 가둬두고 지들끼리 알아서 살라고 했으면. 사회에서 격리시켜야 한다.,I have a gathering of the vaccine. It should be isolated in society.
86,인도네시아 입국 발리 격리 5일 여행 가능 코로나 (출처 : Der Sinn.. | 블로그) https://t.co/DArf6W73wF,Indonesia Entry to Bali 5 days Travel Corona (Source: der sinn .. blog) https://t.co/darf6w73wf
87,@haru21_bk 주사를 맞기면 격리 필요없는 것 같다.요즘 블랙핑크도 입국한 거아니에요?,"@ Haru21_bk I do not seem to be unknown if I set the scanning. Nowadays, is not black pink,"
